price,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,guests_included,review_scores_rating,reviews_per_month
199.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,100,0.02
199.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,90,0.09
189.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,93,0.07
299.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,100,0.07
229.00,0.99,0.92,f,East Cambridge,5,2,2,3,1,96,0.12
179.00,0.99,0.92,f,East Cambridge,5,2,2,3,1,91,0.16
249.00,0.99,0.92,f,East Cambridge,5,2,2,3,1,100,0.04
249.00,0.99,0.92,f,East Cambridge,5,2,2,3,1,94,0.24
110.00,1.00,1.00,t,Cambridgeport,2,1,1,2,1,88,0.7
325.00,1.00,1.00,t,Cambridgeport,5,2.5,3,0,1,94,0.57
110.00,1.00,1.00,t,The Port,2,1,1,2,1,94,1.05
120.00,1.00,1.00,t,Riverside,2,1,1,0,1,94,0.47
100.00,1.00,1.00,t,North Cambridge,1,1,1,1,1,91,0.68
179.00,1.00,0.68,t,Cambridgeport,2,1,1,1,1,95,1.09
72.00,1.00,0.74,f,Riverside,1,1,1,1,1,91,0.73
299.00,1.00,1.00,t,Mid-Cambridge,9,3,3,4,6,92,1.99
250.00,1.00,1.00,t,Mid-Cambridge,5,1,2,3,4,91,2.66
299.00,1.00,1.00,t,Mid-Cambridge,9,2,2,2,7,92,1.7
190.00,1.00,0.96,t,North Cambridge,4,1,2,2,1,99,3.03
125.00,1.00,1.00,f,East Cambridge,5,1,1,3,4,91,7.19
131.00,0.71,0.78,f,North Cambridge,2,1,1,1,1,97,1.79
325.00,1.00,1.00,t,The Port,5,2.5,3,0,1,94,0.6
275.00,1.00,1.00,t,Cambridgeport,3,2.5,3,3,1,94,0.38
220.00,1.00,1.00,t,The Port,4,1,1,2,2,98,0.92
100.00,1.00,0.67,f,Riverside,2,1.5,1,1,1,100,0.12
160.00,N/A,1.00,f,North Cambridge,3,2,2,2,1,92,0.59
110.00,1.00,0.92,f,Cambridgeport,2,1,1,1,2,96,1.24
250.00,1.00,0.94,t,Riverside,4,1,2,3,4,99,0.6
190.00,1.00,0.79,f,Agassiz,3,1,1,2,1,97,1.21
168.00,1.00,0.83,f,Mid-Cambridge,4,1,1,2,3,92,1.88
370.00,1.00,1.00,t,The Port,9,2,3,6,6,98,1.13
119.00,1.00,0.99,t,Mid-Cambridge,4,1,1,3,2,98,2.25
160.00,1.00,0.94,t,Riverside,2,1,1,1,2,99,0.44
280.00,1.00,1.00,t,Neighborhood Nine,9,2,3,5,6,97,1.07
201.00,1.00,0.99,t,Neighborhood Nine,4,1,2,3,2,97,1.63
90.00,0.91,0.97,f,Mid-Cambridge,2,1,1,1,1,96,2.47
48.00,0.86,1.00,t,Mid-Cambridge,1,2,1,1,1,96,7.33
390.00,N/A,0.00,f,Mid-Cambridge,6,2,2,2,4,98,0.58
500.00,N/A,N/A,f,West Cambridge,4,2,2,2,1,100,0.12
100.00,1.00,1.00,t,Cambridgeport,2,1,1,1,1,98,8.03
141.00,1.00,1.00,f,The Port,5,1,2,2,1,93,4.42
150.00,N/A,0.92,f,Neighborhood Nine,2,1,0,1,2,96,0.53
